"site.SET.identifier","network","country","site.label","latitude","longitude","TSM.2011.AVG","TSM.2011.STDEV","SLR50","MHW","MLW","MSL","marshElevation","D","NEC","maxTemp","rainfall","Dominant.vegetation","accretion","elevCapital","elevation.rate","R2.SET","tidal.range","Spartina","shortGrassesHerbs","brackishRushes","saltbushes","category","SLR3000","Geomorphic.setting","Shore.R2","Shore.rate","Shore.Dist","UVVR","RSLR.period.of.measure","elevDeficit","subsidence","yearsNew","startNew","endNew","lowMarshLimBelMHW","lowMarshLimHeightDatum","tidalCat","orgMat","bulkDensity","SLR.ZONE","TIDE.RANGE.CM","Pio..lower.border.relative.to.mean.high.water.","LowMarshImHeight..relative.to.height.datum.","Elevation.capital..cm.","timeToFailurePROJECTED","timeToFailure.CONTEMPORANEOUS","Time.to.Failure.50","SatAltRSLR","Retreat.Failure"
"Vilacoto.F7V","EUROPE","Spain","Vilacoto",40.641738,0.620075,2.399583357,1.557906632,-0.21,0.1,-0.1,0,0.92104357,-4.10521785,2.04208714,21.45,805,"Cladium",NA,59.70483343,-0.949563496,0.01315458,0.2,0,0,1,0,"brackishRush",-0.097,"River deltaic",0.62,0.0729,73.3725,0.04,-2.67,-1.720436504,NA,8.523287671,"9/4/2009","3/12/2018",22.39952357,32.39952357,"micro",47.3,0.115,"3A",20,22.39952357,32.39952357,59.70483343,426.6076343,1000,807,2.32,1000
"Vilacoto.F8V","EUROPE","Spain","Vilacoto",40.641574,0.6219974,2.399583357,1.557906632,-0.21,0.1,-0.1,0,0.79014647,-3.45073235,1.78029294,21.45,805,"Cladium",1.1875,46.61512343,0.885229779,0.010338307,0.2,0,0,1,0,"brackishRush",-0.097,"River deltaic",0.96,-0.1293,228.7175,0.04,-2.67,-3.555229779,0.302270221,8.523287671,"9/4/2009","3/12/2018",22.39952357,32.39952357,"micro",47.3,0.115,"3A",20,22.39952357,32.39952357,46.61512343,1000,1000,1000,2.32,1768.890178
"Essex.FW.1","EUROPE","UK","Essex",51.83227,0.9738145,13.58662705,7.217511972,1.22,2.435,-1.8,0.3175,2.721,-0.067532468,0.994438928,15.1,594,"Salicornia",3.501053449,149.6943451,3.866131335,0.978022576,4.235,0,1,0,0,"shortGrass",0.19,"Tide Dominant",0.62,-0.1418,40.28,0.27,11.56,7.693868665,-0.365077886,4.117808219,"11/9/2012","12/21/2016",-121.0943451,122.4056549,"meso/macro",12.6,0.52,"1",423.5,-121.0943451,122.4056549,149.6943451,148.7794515,194.5631666,1000,14.76,284.0620592
"Essex.FW.2","EUROPE","UK","Essex",51.83225,0.9740439,13.58662705,7.217511972,1.22,2.435,-1.8,0.3175,2.804,-0.087131051,1.027408143,15.1,594,"Salicornia",2.812985141,157.9943451,3.302820902,0.824432896,4.235,0,1,0,0,"shortGrass",0.19,"Tide Dominant",0.07,-0.026,25.355,0.27,11.56,8.257179098,-0.489835761,4.117808219,"11/9/2012","12/21/2016",-121.0943451,122.4056549,"meso/macro",12.6,0.52,"1",423.5,-121.0943451,122.4056549,157.9943451,148.7089833,191.3417927,1000,14.76,975.1923077
"Essex.FW.3","EUROPE","UK","Essex",51.83224,0.9742735,13.58662705,7.217511972,1.22,2.435,-1.8,0.3175,2.569,-0.031641086,0.934061569,15.1,594,"Salicornia",4.330782879,134.4943451,3.87001134,0.892813613,4.235,0,1,0,0,"shortGrass",0.19,"Tide Dominant",0.47,-0.2107,10.825,0.27,11.56,7.68998866,0.460771539,4.117808219,"11/9/2012","12/21/2016",-121.0943451,122.4056549,"meso/macro",12.6,0.52,"1",423.5,-121.0943451,122.4056549,134.4943451,134.9045321,174.8953751,1000,14.76,51.3763645
"Essex.TM.1","EUROPE","UK","Essex",51.69423,0.9415676,24.43898608,8.395510508,1.22,2.435,-1.8,0.3175,2.732,-0.07012987,0.998808342,15.1,594,"Salicornia",9.762171685,150.7943451,9.537397029,0.985721174,4.235,0,1,0,0,"shortGrass",0.19,"Tide Dominant",0.99,0.9528,18.0675,0.15,11.56,2.022602971,0.224774656,4.276712329,"11/9/2012","2/17/2017",-121.0943451,122.4056549,"meso/macro",8.2,0.81,"1",423.5,-121.0943451,122.4056549,150.7943451,311.7156394,745.5459488,1000,16.98,1000
"Essex.TM.2","EUROPE","UK","Essex",51.69414,0.9413814,24.43898608,8.395510508,1.22,2.435,-1.8,0.3175,2.793,-0.084533648,1.023038729,15.1,594,"Salicornia",9.937540038,156.8943451,10.79337516,0.975192879,4.235,0,1,0,0,"shortGrass",0.19,"Tide Dominant",0.84,0.8441,28.19,0.15,11.56,0.76662484,-0.855835122,4.276712329,"11/9/2012","2/17/2017",-121.0943451,122.4056549,"meso/macro",8.2,0.81,"1",423.5,-121.0943451,122.4056549,156.8943451,425.1247557,2046.559633,1000,16.98,1000
"Essex.TM.3","EUROPE","UK","Essex",51.69406,0.9411945,24.43898608,8.395510508,1.22,2.435,-1.8,0.3175,2.768,-0.07863046,1.013108242,15.1,594,"Salicornia",9.391949605,154.3943451,8.244082793,0.966977186,4.235,0,1,0,0,"shortGrass",0.19,"Tide Dominant",0.9,1.052,42.365,0.15,11.56,3.315917207,1.147866812,4.276712329,"11/9/2012","2/17/2017",-121.0943451,122.4056549,"meso/macro",8.2,0.81,"1",423.5,-121.0943451,122.4056549,154.3943451,255.5714184,465.6158024,1000,16.98,1000
"Norfolk.SKA.1","EUROPE","UK","Norfolk",52.96399,0.9294504,10.97063008,11.09768609,2.56,1.83,-1.33,0.25,2.524,-0.219620253,1.198989899,13.3,627,NA,NA,176.731133,-2.063904,0.262857834,3.16,0,0,0,0,NA,0.22,"Tide Dominant",0.99,0.2679,3.85,0.12,7.98,10.043904,NA,7.953424658,"9/28/1995","9/9/2003",-107.331133,75.66886705,"meso/macro",13.7,0.49,"1",316,-107.331133,75.66886705,176.731133,142.8046928,175.9586043,382,0.89,1000
"Norfolk.SKA.2","EUROPE","UK","Norfolk",52.96368,0.9289484,10.97063008,11.09768609,2.56,1.83,-1.33,0.25,2.783,-0.301582278,1.32979798,13.3,627,NA,NA,202.631133,2.319427017,0.924406593,3.16,0,0,0,0,NA,0.22,"Tide Dominant",0.89,0.3655,39.60666667,0.12,7.98,5.660572983,NA,7.953424658,"9/28/1995","9/9/2003",-107.331133,75.66886705,"meso/macro",13.7,0.49,"1",316,-107.331133,75.66886705,202.631133,242.4175294,357.9692968,8423,0.89,1000
"Norfolk.SKA.3","EUROPE","UK","Norfolk",52.96318,0.9280618,10.97063008,11.09768609,2.56,1.83,-1.33,0.25,2.992,-0.367721519,1.435353535,13.3,627,NA,NA,223.531133,4.423250101,0.984613594,3.16,0,0,0,0,NA,0.22,"Tide Dominant",0.73,0.2845,90.15,0.12,7.98,3.556749899,NA,7.953424658,"9/28/1995","9/9/2003",-107.331133,75.66886705,"meso/macro",14.5,0.41,"1",316,-107.331133,75.66886705,223.531133,348.4625216,628.4702027,1000,0.89,1000
"Norfolk.SKA.4","EUROPE","UK","Norfolk",52.96197,0.9257863,10.97063008,11.09768609,2.56,1.83,-1.33,0.25,3.065,-0.390822785,1.472222222,13.3,627,NA,NA,230.831133,2.980490643,0.838199286,3.16,0,0,0,0,NA,0.22,"Tide Dominant",0.99,0.1649,277.765,0.12,7.98,4.999509357,NA,7.953424658,"9/28/1995","9/9/2003",-107.331133,75.66886705,"meso/macro",11.1,0.61,"1",316,-107.331133,75.66886705,230.831133,296.2004483,461.7075727,1000,0.89,1000
"Norfolk.SKA.5","EUROPE","UK","Norfolk",52.96188,0.9259061,10.97063008,11.09768609,2.56,1.83,-1.33,0.25,3.511,-0.531962025,1.697474747,13.3,627,NA,NA,275.431133,2.385288546,0.956154572,3.16,0,0,0,0,NA,0.22,"Tide Dominant",0.99,0.1435,311.94,0.12,7.98,5.594711454,NA,7.953424658,"9/28/1995","9/9/2003",-107.331133,75.66886705,"meso/macro",14.5,0.41,"1",316,-107.331133,75.66886705,275.431133,326.7852406,492.3062347,15765,0.89,1000
"Norfolk.SKB.1","EUROPE","UK","Norfolk",52.96399,0.9294504,10.97063008,11.09768609,2.56,1.83,-1.33,0.25,2.524,-0.219620253,1.198989899,13.3,627,NA,NA,176.731133,-2.319589824,0.413717765,3.16,0,0,0,0,NA,0.22,"Tide Dominant",0.99,0.2679,3.85,0.12,1.5,3.819589824,NA,12.63287671,"10/12/2003","5/27/2016",-107.331133,75.66886705,"meso/macro",13.7,0.49,"1",316,-107.331133,75.66886705,176.731133,269.0093504,462.6966275,362,1.46,1000
"Norfolk.SKB.2","EUROPE","UK","Norfolk",52.96368,0.9289484,10.97063008,11.09768609,2.56,1.83,-1.33,0.25,2.783,-0.301582278,1.32979798,13.3,627,NA,NA,202.631133,-1.388990533,0.795992835,3.16,0,0,0,0,NA,0.22,"Tide Dominant",0.89,0.3655,39.60666667,0.12,1.5,2.888990533,NA,12.63287671,"10/12/2003","5/27/2016",-107.331133,75.66886705,"meso/macro",13.7,0.49,"1",316,-107.331133,75.66886705,202.631133,352.3380946,701.3907823,513,1.46,1000
"Norfolk.SKB.3","EUROPE","UK","Norfolk",52.96318,0.9280618,10.97063008,11.09768609,2.56,1.83,-1.33,0.25,2.992,-0.367721519,1.435353535,13.3,627,NA,NA,223.531133,3.678374702,0.97027679,3.16,0,0,0,0,NA,0.22,"Tide Dominant",0.73,0.2845,90.15,0.12,1.5,-2.178374702,NA,12.63287671,"10/12/2003","5/27/2016",-107.331133,75.66886705,"meso/macro",14.5,0.41,"1",316,-107.331133,75.66886705,223.531133,2260.787684,1000,1000,1.46,1000
"Norfolk.SKB.4","EUROPE","UK","Norfolk",52.96197,0.9257863,10.97063008,11.09768609,2.56,1.83,-1.33,0.25,3.065,-0.390822785,1.472222222,13.3,627,NA,NA,230.831133,1.918705143,0.989672985,3.16,0,0,0,0,NA,0.22,"Tide Dominant",0.99,0.1649,277.765,0.12,1.5,-0.418705143,NA,12.63287671,"10/12/2003","5/27/2016",-107.331133,75.66886705,"meso/macro",11.1,0.61,"1",316,-107.331133,75.66886705,230.831133,868.4064601,1000,3599,1.46,1000
"Norfolk.SKB.5","EUROPE","UK","Norfolk",52.96188,0.9259061,10.97063008,11.09768609,2.56,1.83,-1.33,0.25,3.511,-0.531962025,1.697474747,13.3,627,NA,NA,275.431133,1.067580239,0.940291709,3.16,0,0,0,0,NA,0.22,"Tide Dominant",0.99,0.1435,311.94,0.12,1.5,0.432419761,NA,12.63287671,"10/12/2003","5/27/2016",-107.331133,75.66886705,"meso/macro",14.5,0.41,"1",316,-107.331133,75.66886705,275.431133,788.227354,6369.531595,1846,1.46,1000
"Wash.WB.1","EUROPE","UK","Wash",52.9547,0.08521299,11.6519825,6.059539088,0.76,1.83,-1.33,0.25,3.604,-0.561392405,1.744444444,13.2,620.5,"Salicornia, suaeda",1.241,284.731133,2.162513404,0.96739155,3.16,0,1,0,0,"shortGrass",0.11,"Tide Dominant",0.73,9.3,260.54,0.04,1.35,-0.812513404,-0.921513404,12.84109589,"11/1/2002","9/1/2015",-107.331133,75.66886705,"meso/macro",13,NA,"1",316,-107.331133,75.66886705,284.731133,1233.822446,1000,1000,1.06,1000
"Wash.WB.2","EUROPE","UK","Wash",52.96204,0.09629519,10.28715523,5.134982952,0.76,1.83,-1.33,0.25,3.3,-0.465189873,1.590909091,13.2,620.5,"Salicornia, suaeda",8.3585,254.331133,10.37237126,0.982134199,3.16,0,1,0,0,"shortGrass",0.11,"Tide Dominant",0.95,3.126,64.6675,0.04,1.35,-9.02237126,-2.01387126,12.84109589,"11/1/2002","9/1/2015",-107.331133,75.66886705,"meso/macro",9,NA,"1",316,-107.331133,75.66886705,254.331133,1000,1000,1000,1.06,1000
